method,replicate,mean_ce,accuracy_pct,median_ce,p90_ce,p99_ce,max_ce,max_abs_logit,top1pct_loss_share,top10pct_loss_share
dfa_decorrelation,2,1.1922987731845425,58.309999999999995,0.9381932051988269,2.5780321088285723,4.397637036059407,9.004150167974455,15.541646003723145,0.042586293337659675,0.28722893491748075
bp,3,1.2198564493292743,57.56,0.9256616645269085,2.6751262693234485,5.270457210071796,10.382648323109468,21.600181579589844,0.054243434416451256,0.3137880923444941
dfa,3,1.6248275285304934,44.21,1.3642251557455132,3.2849449707227123,5.782346559478753,12.686267780336753,19.7724552154541,0.04389755604101678,0.27131044581007535
bp_activity,3,1.1276674459175684,61.08,0.7401045926135135,2.7002620960897104,5.6763369169778635,13.807264567604996,22.90847396850586,0.0628133488469864,0.3535473326630955
dfa_activity,3,676.6841829235861,36.08,208.8146934540319,1928.4369995117188,5348.111140136719,19404.7216796875,24567.724609375,0.11632595002257143,0.5046384329476381
dfa_error,3,153147121864826.88,27.38,69024155172864.0,431729527069081.6,1020023193982731.2,1941836721553408.0,1196010147676160.0,0.08003116382672366,0.4493140370520434
dfa_kronecker,3,41.6452918608659,46.08,5.434810934485029,134.80649695538432,279.9633155822756,600.6934509277344,537.3573608398438,0.08273228866657055,0.4790746646328655
bp_batchnorm,3,1.1257968011325268,60.34,0.7755977962321952,2.6691622526647847,5.071876104278766,12.630746140572668,20.17158317565918,0.05426098464651887,0.32726664802165645
dfa_batchnorm,3,1.187152501645082,58.050000000000004,0.8930190200647963,2.6450938958325594,4.838803379576488,9.693818199223267,13.610610008239746,0.04856812915097839,0.30220427995795085
bp_decorrelation,3,1.1746462639284554,58.599999999999994,0.8494677358318115,2.713574887137526,5.170150135828221,9.400940272823089,17.887880325317383,0.052381370631099995,0.3233554717235331
dfa_decorrelation,3,1.1769416375205002,58.46,0.8746695201036707,2.668245491038942,4.681272593623241,9.09635714307572,16.045856475830078,0.046818087611619416,0.30454690227335207
bp,4,1.2544062981722488,55.81,0.9502825257498926,2.805095411142575,5.412849319551589,11.715595334442662,19.774093627929688,0.05452231950989858,0.31536810663453474
dfa,4,1.6504331601272926,43.37,1.388722837916568,3.412647364324284,5.90087301216809,10.955746725523568,20.989086151123047,0.042631087944730126,0.272946558664806
bp_activity,4,1.1646147871535533,59.830000000000005,0.7446722947217017,2.8517427378704223,5.775972638743769,13.999183060220046,24.31999969482422,0.06032379204952997,0.3540682111335661
dfa_activity,4,920.1519675349774,43.8,111.42889596620851,2791.9735694885258,8258.9883947754,41558.3955078125,28152.927734375,0.13102839348348122,0.5656193979902265
dfa_error,4,59978191851493.79,25.480000000000004,30976047579136.0,167388440743116.8,317662683694366.94,512093296001024.0,373421166821376.0,0.061727418297269,0.3930585567733288
dfa_kronecker,4,42.83570033704051,46.989999999999995,3.929866339461121,136.2820613861084,335.3973754119873,706.7591247558594,812.0263061523438,0.09696753814054145,0.5181761540402889
bp_batchnorm,4,1.169390095027167,58.46,0.792305038858006,2.843064768089636,5.266476125872918,11.634958748770902,21.687728881835938,0.05438155993974926,0.3350589248513593
dfa_batchnorm,4,1.218948118488731,56.720000000000006,0.9111188612412902,2.7717641939047266,4.868207369835444,11.361043428558858,13.237495422363281,0.04889344142628415,0.30746505556457837
bp_decorrelation,4,1.1906645708760513,58.13,0.8304356937657609,2.802107572284586,5.27844205504675,9.926553950609549,20.136465072631836,0.053514961354384015,0.33006011566138155
dfa_decorrelation,4,1.2039972295548784,58.269999999999996,0.8727184828167522,2.8050335113934053,5.008358349376118,8.869669839618552,16.556455612182617,0.04925026214779397,0.3142014197208264
