dataset,n_train,n_test,label_noise,test_label_noise,method,feedback_rank,natural_damping,nc_update_interval,nc_manifold_rank,test_mean,test_sem,train_mean,activity_angle,projected_step,alpha,dim_fraction,margin,feedback_norm,n,pre_activity_condition_mean,pre_activity_effective_rank_mean,pre_activity_top1_fraction_mean,local_error_condition_mean,local_error_effective_rank_mean,local_error_top1_fraction_mean,bp_error_condition_mean,bp_error_effective_rank_mean,bp_error_top1_fraction_mean
cifar10,10000.0,3000.0,0.1,0.0,ndfa_random_kronecker,0.0,0.3,10.0,64.0,0.3941333353519439,0.0016792531495133,1.0,57.40051158760854,6.040837812423706,0.2198800186316171,0.09375,0.1261300186316171,,15,1709.4627115885417,73.59513308207194,0.1961983020106951,1.0,46.97301762898763,0.1165701443950334,1.0,52.47894503275553,0.1061335059503713
cifar10,10000.0,3000.0,0.2,0.0,ndfa_random_kronecker,0.0,0.3,10.0,64.0,0.3585555553436279,0.0014990893725205,1.0,56.50914663767746,6.146417554219564,0.2142559754351774,0.09375,0.1205059754351774,,15,1702.0891723632812,75.96297823588053,0.1941283514102299,1.0,47.19743728637695,0.115688070654869,1.0,52.510790761311846,0.1071641519665717
cifar10,10000.0,3000.0,0.4,0.0,ndfa_random_kronecker,0.0,0.3,10.0,64.0,0.2803555528322856,0.0013676019724687,1.0,55.22700255442409,6.465850989023845,0.2035539676745732,0.09375,0.1098039676745732,,15,1686.7230041503906,79.70448239644368,0.1925653912127017,1.000000011920929,52.249054590861,0.1120921080311139,1.0,57.44656359354655,0.1035518261293569
cifar10,1000.0,3000.0,0.0,0.0,nmnc,0.0,0.3,10.0,64.0,0.3020666678746541,0.0041006129559902,0.5971354166666667,70.01921029910595,0.1449943929910659,0.1493267429371674,0.09375,0.0555767429371674,1.6788747390111287,15,1678.457149251302,50.08515535990397,0.2440481781959533,1.0000001827875773,47.10087916056315,0.139728823552529,1.0000006119410196,94.06841939290364,0.0808765062441428
cifar10,1000.0,3000.0,0.1,0.0,nmnc,0.0,0.3,10.0,64.0,0.2890444437662759,0.0033253656195247,0.57109375,70.54509452049857,0.138270691037178,0.144662918895483,0.09375,0.0509129188954829,1.59584588209788,15,1674.5997965494792,50.54750760396322,0.2438787837823231,1.0000001788139343,48.919075139363606,0.1375320136547088,1.0000006119410196,98.95971094767252,0.0785705214987197
cifar10,1000.0,3000.0,0.2,0.0,nmnc,0.0,0.3,10.0,64.0,0.2705777784188588,0.0031180426715087,0.53828125,71.07925453148692,0.1307921681553125,0.139508623878161,0.09375,0.045758623878161,1.527509578069051,15,1667.4613138834636,51.13604850769043,0.2423683563868204,1.0000001788139343,50.62095991770426,0.1345153125623861,1.0000006397565204,102.0755781809489,0.077929063886404
cifar10,1000.0,3000.0,0.4,0.0,nmnc,0.0,0.3,10.0,64.0,0.2234888901313145,0.0027560160430357,0.4592447916666666,72.19871489752765,0.1177336146434147,0.1301944042245546,0.09375,0.0364444042245546,1.4077653606732687,15,1665.4775126139325,51.7000228881836,0.2437180270751317,1.0000001788139343,53.64947980244954,0.1371956425408522,1.0000006357828777,110.23100420633952,0.0734224145611126
cifar10,3000.0,3000.0,0.0,0.0,nmnc,0.0,0.3,10.0,64.0,0.3555111130078633,0.0033348987580288,0.5592447916666666,65.51317853693372,0.2083797494570413,0.1932003239790598,0.09375,0.0994503239790598,2.2531712889671325,15,1709.8732798258463,49.50164833068848,0.2442535445094108,1.000000333786011,43.08965625762939,0.1552028343081474,1.0000007470448813,84.15201377868652,0.0892066737016041
cifar10,3000.0,3000.0,0.1,0.0,nmnc,0.0,0.3,10.0,64.0,0.3214666664600372,0.0040768800784271,0.494140625,66.62520676155386,0.1927234893043835,0.1816798605024814,0.09375,0.0879298605024814,1.9957053939501443,15,1707.185806274414,49.987645085652666,0.2465836847821871,1.000000329812368,46.50928745269776,0.1521645863850911,1.000000782807668,93.05742365519204,0.0865506531049807
cifar10,3000.0,3000.0,0.2,0.0,nmnc,0.0,0.3,10.0,64.0,0.3116444488366445,0.0057335429179455,0.462109375,67.29441150820851,0.1850966903070608,0.1756835751235484,0.09375,0.0819335751235484,1.8915238976478577,15,1690.8324106852212,51.18617769877116,0.2426119873921076,1.000000313917796,48.541632906595865,0.1523350290954112,1.000000711282094,97.69522247314453,0.0793484459320703
cifar10,3000.0,3000.0,0.4,0.0,nmnc,0.0,0.3,10.0,64.0,0.2701333343982696,0.0050803911128859,0.4069010416666667,69.08169721956791,0.1606410022825002,0.1569925727943579,0.09375,0.0632425727943579,1.6806159973144532,15,1676.7954386393228,52.43161125183106,0.2404883787035941,1.000000246365865,52.0171225865682,0.1429097761710484,1.0000006635983782,107.48623657226562,0.0750599889705578
cifar10,10000.0,3000.0,0.0,0.0,nmnc,0.0,0.3,10.0,64.0,0.3672666649023692,0.0092415092507792,0.5209635416666667,59.26365013192252,0.3142131288846333,0.2626751552025477,0.09375,0.1689251552025476,3.0698448022206626,15,1622.934799194336,53.6373228708903,0.2181564187010129,1.0000008026758829,39.40709590911865,0.1964139933387438,1.0000014026959738,77.10793469746908,0.1195721161862213
cifar10,10000.0,3000.0,0.1,0.0,nmnc,0.0,0.3,10.0,64.0,0.3405333300431569,0.0082812223573225,0.4515625,61.20920913173738,0.2835491041342417,0.2403503810365994,0.09375,0.1466003810365994,2.6122721274693808,15,1622.068549601237,53.92574195861816,0.2216559648513793,1.0000006755193074,42.88275241851807,0.1859447181224822,1.0000012119611104,87.66215375264485,0.1073328691224256
cifar10,10000.0,3000.0,0.2,0.0,nmnc,0.0,0.3,10.0,64.0,0.3049555579821268,0.011508398596875,0.3759114583333333,63.12731950427522,0.2524330263336499,0.2190793621043364,0.09375,0.1253293621043364,2.2605711698532103,15,1610.5591186523438,54.72949384053548,0.2205996851126352,1.0000005086263022,49.1219056447347,0.1613447561860084,1.000001029173533,100.21432342529296,0.0924074754118918
cifar10,10000.0,3000.0,0.4,0.0,nmnc,0.0,0.3,10.0,64.0,0.2793777793645858,0.0076184036685232,0.3122395833333333,66.25978436912982,0.2093191174169381,0.1861192914346853,0.09375,0.0923692914346853,1.842269607385,15,1615.59636332194,54.58433698018392,0.2259589627385139,1.0000003814697267,53.0139165242513,0.1467552475631236,1.0000007271766662,115.95421867370604,0.0765500894437233
cifar10,1000.0,3000.0,0.0,0.0,vnc,0.0,0.3,10.0,64.0,0.3078000028928121,0.0051145400233519,0.8477864583333333,60.48467527136713,0.7902455826600393,0.2884095023075739,0.09375,0.1946595023075739,7.782991202672322,15,1831.5080708821613,41.90486704508464,0.2512068072954813,1.0000014265378316,44.677697372436526,0.1597593511144319,1.0000003973642986,64.09502321879069,0.130623618264993
cifar10,1000.0,3000.0,0.1,0.0,vnc,0.0,0.3,10.0,64.0,0.2941111147403717,0.0047502349364219,0.8458333333333333,60.38639010154052,0.7908269564310709,0.2859631801644961,0.09375,0.192213180164496,7.768269777297974,15,1831.323309326172,42.14655939737956,0.2524969771504401,1.0000014265378316,47.31635284423828,0.1574182279407977,1.0000004092852277,67.58925933837891,0.1297306674222151
cifar10,1000.0,3000.0,0.2,0.0,vnc,0.0,0.3,10.0,64.0,0.275644447406133,0.0029036494616034,0.8334635416666667,60.46649807552989,0.7897804816563924,0.2832124893863996,0.09375,0.1894624893863995,7.75615070660909,15,1815.9960367838544,42.83757769266765,0.2505050013462702,1.0000014662742616,50.429931640625,0.1459621975819269,1.0000004013379415,72.62702929178873,0.1185793054600556
cifar10,1000.0,3000.0,0.4,0.0,vnc,0.0,0.3,10.0,64.0,0.2228444437185923,0.0038283073733799,0.7670572916666667,60.54717051256128,0.7834635853767395,0.2774521395564079,0.09375,0.1837021395564079,7.669022051493327,15,1819.38681640625,43.10663604736328,0.2537508894999821,1.0000015377998352,56.96166877746582,0.1230715190370877,1.0000004291534423,82.02157974243164,0.1003403859833875
cifar10,3000.0,3000.0,0.0,0.0,vnc,0.0,0.3,10.0,64.0,0.3525333325068155,0.006513136714068,0.6994791666666667,60.48490619211602,0.7901048918565114,0.3052003612120946,0.09375,0.2114503612120946,8.096528037389119,15,1939.112813313802,40.542294057210285,0.2525022486845652,1.0000019431114198,55.76024462381999,0.1308845696349938,1.0000005523363749,78.8182139078776,0.1058434563378492
cifar10,3000.0,3000.0,0.1,0.0,vnc,0.0,0.3,10.0,64.0,0.3208666682243347,0.008092833998024,0.6526041666666667,60.70997288195456,0.7829790691534678,0.2886797130107879,0.09375,0.1949297130107879,7.894466193517049,15,1940.620924886068,40.53328297932943,0.2544023588299751,1.0000019431114198,62.29165013631185,0.1170771986246108,1.000000536441803,89.50396372477213,0.0932840930918852
cifar10,3000.0,3000.0,0.2,0.0,vnc,0.0,0.3,10.0,64.0,0.2888666679461797,0.0080366097633809,0.59375,60.59265129214193,0.7863046884536743,0.2869497120380401,0.09375,0.1931997120380401,7.808902168273926,15,1939.0753540039063,40.49066899617513,0.2546172579129536,1.0000020345052083,66.28156344095866,0.1105184120436509,1.00000057220459,95.5890874226888,0.0879564873874187
