condition,method,seed,feedback_seed,feedback_rank,epoch,n_train,input_noise,train_label_noise,test_acc
nuisance_dominant,dfa_random,4.0,2.0,0.0,14.0,1024.0,0.15,0.1,0.482421875
low_sample_noisy,dfa_random,1.0,1.0,0.0,14.0,512.0,0.05,0.1,0.51953125
task_aligned,dfa_random,0.0,2.0,0.0,14.0,1024.0,0.15,0.4,0.777587890625
task_aligned,dfa_random,0.0,1.0,0.0,14.0,1024.0,0.15,0.4,0.767333984375
low_sample_noisy,dfa_random,0.0,0.0,0.0,14.0,512.0,0.05,0.1,0.572021484375
low_sample_noisy,dfa_random,1.0,0.0,0.0,14.0,512.0,0.05,0.1,0.508544921875
low_sample_noisy,dfa_random,0.0,2.0,0.0,14.0,512.0,0.05,0.1,0.5810546875
low_sample_noisy,dfa_random,1.0,2.0,0.0,14.0,512.0,0.05,0.1,0.527587890625
nuisance_dominant,dfa_random,3.0,0.0,0.0,14.0,1024.0,0.15,0.1,0.492919921875
task_aligned,dfa_random,2.0,0.0,0.0,14.0,4096.0,0.05,0.4,0.864013671875
task_aligned,dfa_random,1.0,2.0,0.0,14.0,4096.0,0.05,0.4,0.82421875
task_aligned,dfa_random,1.0,1.0,0.0,14.0,4096.0,0.05,0.4,0.8662109375
low_sample_noisy,dfa_random,4.0,2.0,0.0,14.0,512.0,0.15,0.0,0.71142578125
low_sample_noisy,dfa_random,0.0,1.0,0.0,14.0,512.0,0.05,0.1,0.58740234375
nuisance_dominant,dfa_random,2.0,2.0,0.0,14.0,2048.0,0.05,0.0,0.826416015625
nuisance_dominant,dfa_random,3.0,2.0,0.0,14.0,2048.0,0.05,0.0,0.83349609375
nuisance_dominant,dfa_random,3.0,1.0,0.0,14.0,2048.0,0.05,0.0,0.83251953125
nuisance_dominant,dfa_random,4.0,0.0,0.0,14.0,2048.0,0.05,0.0,0.8134765625
low_sample_noisy,dfa_random,2.0,2.0,0.0,14.0,4096.0,0.15,0.2,0.732666015625
task_aligned,dfa_random,2.0,1.0,0.0,14.0,1024.0,0.15,0.2,0.78173828125
task_aligned,dfa_random,2.0,0.0,0.0,14.0,1024.0,0.15,0.2,0.787353515625
nuisance_dominant,dfa_random,3.0,0.0,0.0,14.0,2048.0,0.05,0.0,0.8271484375
low_sample_noisy,dfa_random,1.0,2.0,0.0,14.0,4096.0,0.15,0.2,0.71533203125
task_aligned,dfa_random,0.0,1.0,0.0,14.0,512.0,0.05,0.0,0.93359375
