source_file,cell,condition,method,seed,feedback_seed,feedback_rank,damping,adaptive_lr,epoch,n_train,n_test,input_noise,train_label_noise,loss,train_eval_acc,test_acc,raw_param_cosine,method_param_cosine,method_hidden_projected_step,method_hidden_norm_ratio,factorization_log_corr_mean,factorization_rel_error_mean,gradsq_factor_log_corr_mean,adam_factor_log_corr_mean,adam_exact_log_corr_mean,adam_diagk_update_cosine_mean,adam_m_diagk_update_cosine_mean
results/infodfa_adam_diagk_approx_v1/shards/shard_2/infodfa_adam_diagk_results.csv,clean_aligned,task_aligned,dfa_diag_activity_sqrt,3.0,1.0,0.0,1.0,,100.0,4096.0,4096.0,0.05,0.0,0.010780687443912,0.998046875,0.968505859375,0.4984097778797149,0.5084925293922424,1.6225810638101132,0.7823537033234012,0.5499162971973419,0.6939558386802673,0.2308794111013412,,,,
results/infodfa_adam_diagk_approx_v1/shards/shard_58/infodfa_adam_diagk_results.csv,clean_aligned,task_aligned,dfa_diag_activity_sqrt,2.0,1.0,0.0,1.0,,100.0,4096.0,4096.0,0.05,0.0,0.0148894600570201,0.99609375,0.97412109375,0.4857280254364013,0.4951465129852295,1.2067100235521335,0.7806203408993222,0.5377137362957001,0.7790296077728271,0.3447869122028351,,,,
results/infodfa_adam_diagk_approx_v1/shards/shard_46/infodfa_adam_diagk_results.csv,clean_aligned,task_aligned,dfa_diag_activity_sqrt,1.0,0.0,0.0,1.0,,100.0,4096.0,4096.0,0.05,0.0,0.0049806055612862,1.0,0.96484375,0.5585010051727295,0.5721136927604675,1.8460698136776543,0.8010795715408722,0.0928093830880243,0.6671581268310547,0.038360630427578,,,,
results/infodfa_adam_diagk_approx_v1/shards/shard_38/infodfa_adam_diagk_results.csv,clean_aligned,task_aligned,dfa_diag_activity_sqrt,0.0,0.0,0.0,1.0,,100.0,4096.0,4096.0,0.05,0.0,0.0089764781296253,0.998046875,0.975341796875,0.5465520024299622,0.5592180490493774,1.7470848332164473,0.779234356059429,0.3891532123088836,0.7093061804771423,0.1912348717451095,,,,
results/infodfa_adam_diagk_approx_v1/shards/shard_54/infodfa_adam_diagk_results.csv,clean_aligned,task_aligned,dfa_diag_activity_sqrt,2.0,0.0,0.0,1.0,,100.0,4096.0,4096.0,0.05,0.0,0.0069339834153652,1.0,0.974609375,0.5215992331504822,0.532802402973175,1.6716070911019598,0.8026877101279986,0.4806731790304184,0.693063497543335,0.0917380871251225,,,,
results/infodfa_adam_diagk_approx_v1/shards/shard_62/infodfa_adam_diagk_results.csv,clean_aligned,task_aligned,dfa_diag_activity_sqrt,3.0,0.0,0.0,1.0,,100.0,4096.0,4096.0,0.05,0.0,0.0342104882001876,0.990234375,0.96533203125,0.546934962272644,0.5559958219528198,1.6392098601093334,0.7792033656453089,0.6449472308158875,0.7219290137290955,0.420269712805748,,,,
results/infodfa_adam_diagk_approx_v1/shards/shard_6/infodfa_adam_diagk_results.csv,clean_aligned,task_aligned,dfa_diag_activity_sqrt,4.0,0.0,0.0,1.0,,100.0,4096.0,4096.0,0.05,0.0,0.0079227071255445,0.998046875,0.972900390625,0.5237616300582886,0.5368817448616028,1.6521878176011122,0.7962010006827608,0.2954667434096336,0.8180464804172516,0.1765011213719844,,,,
results/infodfa_adam_diagk_approx_v1/shards/shard_42/infodfa_adam_diagk_results.csv,clean_aligned,task_aligned,dfa_diag_activity_sqrt,0.0,1.0,0.0,1.0,,100.0,4096.0,4096.0,0.05,0.0,0.0038056545890867,1.0,0.974853515625,0.5215482115745544,0.5326294898986816,1.4924738600898102,0.773731246696913,0.1859383653209079,0.7238394021987915,0.0413209670334708,,,,
results/infodfa_adam_diagk_approx_v1/shards/shard_10/infodfa_adam_diagk_results.csv,clean_aligned,task_aligned,dfa_diag_activity_sqrt,4.0,1.0,0.0,1.0,,100.0,4096.0,4096.0,0.05,0.0,0.0091136982664465,0.998046875,0.971923828125,0.519257664680481,0.5297864079475403,1.379322789502801,0.7848969509271922,0.4661889225244522,0.793254941701889,0.2413768842816352,,,,
results/infodfa_adam_diagk_approx_v1/shards/shard_50/infodfa_adam_diagk_results.csv,clean_aligned,task_aligned,dfa_diag_activity_sqrt,1.0,1.0,0.0,1.0,,100.0,4096.0,4096.0,0.05,0.0,0.0064206956885755,1.0,0.9677734375,0.529695451259613,0.5381196141242981,1.5280317976179123,0.8107761204138674,0.2133868232776876,0.6982458829879761,0.0874347258756973,,,,
