phase,development,id,width,method,rho,seed,status,validation_accuracy,validation_loss,validation_logit_abs_max,validation_top_1pct_loss_fraction,update_seconds,test_accuracy,test_loss,test_logit_abs_max,test_top_1pct_loss_fraction,bn,feedback_scale,budget
stability,False,stability_bn0_fb0.1_endfa_s64001,1024,endfa,,64001,complete,0.2575,265216681479.424,1707208867840.0,0.056960131446407575,18.066651383880526,0.2451,270846022699.3792,1824379633664.0,0.05915750821112399,False,0.1,
stability,False,stability_bn0_fb0.1_kndfa_s64001,1024,kndfa,,64001,complete,0.391,10298617.313684387,168842960.0,0.12038120761635224,21.771077565383166,0.3873,10639378.309253052,167732592.0,0.11970898003902414,False,0.1,
stability,False,stability_bn0_fb0.1_dfa_s64002,1024,dfa,,64002,complete,0.239,1615608623.6380625,12207232000.0,0.08069415387646893,9.077397111570463,0.2386,1646814336.651278,13240834048.0,0.08330908273471735,False,0.1,
stability,False,stability_bn0_fb0.1_ndfa_s64002,1024,ndfa,,64002,complete,0.3865,15125473.580479736,347620448.0,0.14677645263881953,17.979294021381065,0.3827,15403261.275588794,386439936.0,0.12411791977974614,False,0.1,
stability,False,stability_bn0_fb0.1_endfa_s64002,1024,endfa,,64002,complete,0.256,450001351825.92,4168932655104.0,0.07533092327070522,18.175017904257402,0.2563,441997029752.3714,3934009688064.0,0.07325362014436815,False,0.1,
stability,False,stability_bn0_fb0.1_kndfa_s64002,1024,kndfa,,64002,complete,0.422,13222423.530037109,282866432.0,0.13747907029831,21.755369079764932,0.4051,13576328.268119361,298711872.0,0.12333125849143464,False,0.1,
stability,False,stability_bn0_fb0.1_dfa_s64003,1024,dfa,,64003,complete,0.2905,1078888645.7141874,11231271936.0,0.07533282339272208,9.164475877769291,0.2898,1100887741.0725672,12135749632.0,0.07575236503328714,False,0.1,
stability,False,stability_bn0_fb0.1_ndfa_s64003,1024,ndfa,,64003,complete,0.417,10037927.59854297,195977488.0,0.13857609689293932,18.06789139076136,0.414,10540486.11035325,211471376.0,0.13665599742574172,False,0.1,
stability,False,stability_bn0_fb0.1_endfa_s64003,1024,endfa,,64003,complete,0.2735,165651688921.808,1478971359232.0,0.0766865729569004,18.074874548939988,0.2626,164657552480.346,1476779835392.0,0.07685524960239715,False,0.1,
stability,False,stability_bn0_fb0.1_kndfa_s64003,1024,kndfa,,64003,complete,0.433,8185717.576304687,145881456.0,0.10884261047608822,21.69484279351309,0.4245,8294125.526138062,161274816.0,0.10518029694490286,False,0.1,
stability,False,stability_bn0_fb0.1_dfa_s64004,1024,dfa,,64004,complete,0.2965,2309507900.06925,18786680832.0,0.0910581950629804,9.072882764739916,0.298,2409072823.278864,20343201792.0,0.08452705500319715,False,0.1,
stability,False,stability_bn0_fb0.1_ndfa_s64004,1024,ndfa,,64004,complete,0.362,13202479.120630462,223333696.0,0.10511707186707542,18.008033177349716,0.3731,12632137.467383398,366668896.0,0.10004993922068625,False,0.1,
stability,False,stability_bn0_fb0.1_endfa_s64004,1024,endfa,,64004,complete,0.2395,363992979210.814,3634311725056.0,0.08320777325268858,18.011508679017425,0.2415,354327156208.8256,3029883944960.0,0.08658175415024727,False,0.1,
stability,False,stability_bn0_fb0.1_kndfa_s64004,1024,kndfa,,64004,complete,0.4055,10286673.527215088,146669296.0,0.1110173266390397,21.876876624766737,0.4164,10618674.185711963,170400176.0,0.11963277411169819,False,0.1,
stability,False,stability_bn0_fb1_dfa_s64000,1024,dfa,,64000,complete,0.25,2099556566212543.0,2.862957553778688e+16,0.11111384508309788,9.094565717503428,0.254,2061696752091036.5,2.7949194736041984e+16,0.10492165895567317,False,1.0,
stability,False,stability_bn0_fb1_ndfa_s64000,1024,ndfa,,64000,complete,0.313,4788514826511.36,79195707277312.0,0.1097865771285578,18.074583225417882,0.3105,4818843562162.483,92404803698688.0,0.09967241241961897,False,1.0,
stability,False,stability_bn0_fb1_endfa_s64000,1024,endfa,,64000,complete,0.274,2.904285071012738e+16,1.9222488628487782e+17,0.07766413765734205,18.27161613921635,0.2792,2.870256640069754e+16,2.2211632965668045e+17,0.07985969964125395,False,1.0,
stability,False,stability_bn0_fb1_kndfa_s64000,1024,kndfa,,64000,complete,0.3635,16143711144853.504,185773408124928.0,0.0818925882207185,21.77509398222901,0.3769,16326339929323.111,222005769011200.0,0.08123374604171495,False,1.0,
