condition,input_noise,n_train,train_label_noise,nuisance_energy_ratio,gain
nuisance_dominant,0.05,1024.0,0.0,118.5185185185185,56.23697916666668
nuisance_dominant,0.05,1024.0,0.1,118.5185185185185,46.75130208333333
nuisance_dominant,0.05,1024.0,0.2,118.5185185185185,38.28125000000001
nuisance_dominant,0.05,1024.0,0.4,118.5185185185185,23.689778645833332
nuisance_dominant,0.05,2048.0,0.0,118.5185185185185,65.27180989583333
nuisance_dominant,0.05,2048.0,0.1,118.5185185185185,54.820963541666664
nuisance_dominant,0.05,2048.0,0.2,118.5185185185185,46.67317708333334
nuisance_dominant,0.05,2048.0,0.4,118.5185185185185,32.47233072916666
nuisance_dominant,0.05,4096.0,0.0,118.5185185185185,60.96842447916666
nuisance_dominant,0.05,4096.0,0.1,118.5185185185185,53.22753906250001
nuisance_dominant,0.05,4096.0,0.2,118.5185185185185,50.04720052083334
nuisance_dominant,0.05,4096.0,0.4,118.5185185185185,35.64453125
nuisance_dominant,0.15,512.0,0.0,118.5185185185185,28.1005859375
nuisance_dominant,0.15,512.0,0.1,118.5185185185185,22.35188802083334
nuisance_dominant,0.15,512.0,0.2,118.5185185185185,18.72233072916667
nuisance_dominant,0.15,512.0,0.4,118.5185185185185,10.595703125
nuisance_dominant,0.15,1024.0,0.0,118.5185185185185,49.34407552083334
nuisance_dominant,0.15,1024.0,0.1,118.5185185185185,40.54687499999999
nuisance_dominant,0.15,1024.0,0.2,118.5185185185185,33.507486979166664
nuisance_dominant,0.15,1024.0,0.4,118.5185185185185,21.2939453125
nuisance_dominant,0.15,2048.0,0.0,118.5185185185185,57.47558593749999
nuisance_dominant,0.15,2048.0,0.1,118.5185185185185,49.00553385416666
nuisance_dominant,0.15,2048.0,0.2,118.5185185185185,41.86035156250001
nuisance_dominant,0.15,2048.0,0.4,118.5185185185185,28.68326822916667
nuisance_dominant,0.15,4096.0,0.0,118.5185185185185,55.65755208333334
nuisance_dominant,0.15,4096.0,0.1,118.5185185185185,48.854166666666664
nuisance_dominant,0.15,4096.0,0.2,118.5185185185185,43.54817708333334
nuisance_dominant,0.15,4096.0,0.4,118.5185185185185,31.23046875
task_aligned,0.05,512.0,0.0,0.2218934911242603,1.8245442708333615
task_aligned,0.05,512.0,0.1,0.2218934911242603,8.095703124999986
task_aligned,0.05,512.0,0.2,0.2218934911242603,13.976236979166668
task_aligned,0.05,512.0,0.4,0.2218934911242603,15.54850260416667
task_aligned,0.05,1024.0,0.0,0.2218934911242603,1.7041015624999933
task_aligned,0.05,1024.0,0.1,0.2218934911242603,8.014322916666671
task_aligned,0.05,1024.0,0.2,0.2218934911242603,19.251302083333332
task_aligned,0.05,1024.0,0.4,0.2218934911242603,25.830078125
task_aligned,0.05,2048.0,0.0,0.2218934911242603,2.433268229166663
task_aligned,0.05,2048.0,0.1,0.2218934911242603,10.266927083333332
